time	type	info
63606787558714.875	experiment	feedback (y, 1/2)
63606787562592.539	experiment	rest
63606787566657.734	flip	block 5, type: level three | same
63606787570593.125	experiment	waiting (for prompt HRF decay)
63606787588592.766	experiment	rest
63606787592645.062	flip	block 6, type: level three | different
63606787596593.227	experiment	waiting (for prompt HRF decay)
63606787614592.734	experiment	rest
63606787618649.062	flip	block 7, type: level four | same
63606787622593.195	experiment	waiting (for prompt HRF decay)
63606787631122.367	keyboard	down: response
63606787631142.523	experiment	feedback (n, 0/1)
63606787633427.258	keyboard	down: response
63606787633443.516	experiment	feedback (y, 1/2)
63606787635402.805	keyboard	down: response
63606787635423.609	experiment	feedback (y, 2/3)
63606787640592.695	experiment	rest
63606787644653.055	flip	block 8, type: level four | different
63606787648592.625	experiment	waiting (for prompt HRF decay)
63606787657553.633	keyboard	down: response
63606787657576.930	experiment	feedback (y, 1/1)
63606787659378.336	keyboard	down: response
63606787659394.508	experiment	feedback (n, 1/2)
63606787666593.070	experiment	rest
63606787670660.531	experiment	run 2 end
63606787783329.445	window	closed
63606787783353.062	log	ended
